FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",GJT,DEN,False,False,1133,1123.0,0.0,-10.0,1228.0,0.0,40.0,72.0,65.0,212.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4301,C5,20445,C5,N21144,4301,11921,1192102,31921,"Grand Junction, CO",CO,8,Colorado,82,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,1100-1159,17.0,1140.0,1220.0,8.0,1245,-17.0,0.0,-2.0,1200-1259,1,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",HRL,IAH,False,False,732,728.0,0.0,-4.0,848.0,0.0,55.0,77.0,80.0,295.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4299,C5,20445,C5,N16170,4299,12206,1220605,32206,"Harlingen/San Benito, TX",TX,48,Texas,74,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,0700-0759,16.0,744.0,839.0,9.0,849,-1.0,0.0,-1.0,0800-0859,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DRO,DEN,False,False,1529,1514.0,0.0,-15.0,1636.0,0.0,47.0,70.0,82.0,251.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4298,C5,20445,C5,N21144,4298,11413,1141307,30285,"Durango, CO",CO,8,Colorado,82,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,1500-1559,21.0,1535.0,1622.0,14.0,1639,-3.0,0.0,-1.0,1600-1659,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,GPT,False,False,1435,1430.0,0.0,-5.0,1547.0,0.0,57.0,90.0,77.0,376.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4296,C5,20445,C5,N11184,4296,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,11973,1197302,31973,"Gulfport/Biloxi, MS",MS,28,Mississippi,53,0.0,-1.0,1400-1459,16.0,1446.0,1543.0,4.0,1605,-18.0,0.0,-2.0,1600-1659,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DRO,DEN,False,False,1135,1135.0,0.0,0.0,1251.0,6.0,49.0,70.0,76.0,251.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4295,C5,20445,C5,N17146,4295,11413,1141307,30285,"Durango, CO",CO,8,Colorado,82,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,0.0,1100-1159,19.0,1154.0,1243.0,8.0,1245,6.0,0.0,0.0,1200-1259,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,TUL,False,False,955,952.0,0.0,-3.0,1238.0,0.0,77.0,105.0,106.0,541.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4294,C5,20445,C5,N11191,4294,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,15370,1537002,34653,"Tulsa, OK",OK,40,Oklahoma,73,0.0,-1.0,0900-0959,25.0,1017.0,1234.0,4.0,1240,-2.0,0.0,-1.0,1200-1259,3,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,LCH,False,False,2139,2136.0,0.0,-3.0,2218.0,0.0,26.0,52.0,42.0,127.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4293,C5,20445,C5,N14143,4293,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,12915,1291503,31205,"Lake Charles, LA",LA,22,Louisiana,72,0.0,-1.0,2100-2159,11.0,2147.0,2213.0,5.0,2231,-13.0,0.0,-1.0,2200-2259,1,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",TYS,IAH,False,False,1129,1117.0,0.0,-12.0,1311.0,5.0,136.0,157.0,174.0,771.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4292,C5,20445,C5,N13124,4292,15412,1541205,35412,"Knoxville, TN",TN,47,Tennessee,54,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,1100-1159,22.0,1139.0,1255.0,16.0,1306,5.0,0.0,0.0,1300-1359,4,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,AEX,False,False,1424,1414.0,0.0,-10.0,1513.0,0.0,37.0,60.0,59.0,190.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4291,C5,20445,C5,N33182,4291,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,10185,1018502,30185,"Alexandria, LA",LA,22,Louisiana,72,0.0,-1.0,1400-1459,16.0,1430.0,1507.0,6.0,1524,-11.0,0.0,-1.0,1500-1559,1,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,MOB,False,False,954,947.0,0.0,-7.0,1110.0,0.0,60.0,87.0,83.0,427.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4290,C5,20445,C5,N21154,4290,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,13422,1342202,30562,"Mobile, AL",AL,1,Alabama,51,0.0,-1.0,0900-0959,17.0,1004.0,1104.0,6.0,1121,-11.0,0.0,-1.0,1100-1159,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,CPR,False,False,1540,1546.0,6.0,6.0,1650.0,0.0,45.0,70.0,64.0,230.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4288,C5,20445,C5,N14177,4288,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,11122,1112205,31122,"Casper, WY",WY,56,Wyoming,88,0.0,0.0,1500-1559,13.0,1559.0,1644.0,6.0,1650,0.0,0.0,0.0,1600-1659,1,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",MOB,IAH,False,False,705,704.0,0.0,-1.0,858.0,6.0,84.0,107.0,114.0,427.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4287,C5,20445,C5,N11184,4287,13422,1342202,30562,"Mobile, AL",AL,1,Alabama,51,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,0700-0759,18.0,722.0,846.0,12.0,852,6.0,0.0,0.0,0800-0859,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",LNK,DEN,False,False,1403,1358.0,0.0,-5.0,1425.0,0.0,69.0,100.0,87.0,423.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4286,C5,20445,C5,N14177,4286,13029,1302902,33029,"Lincoln, NE",NE,31,Nebraska,65,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,1400-1459,11.0,1409.0,1418.0,7.0,1443,-18.0,0.0,-2.0,1400-1459,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,OKC,False,False,1014,1008.0,0.0,-6.0,1148.0,0.0,59.0,95.0,100.0,395.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4281,C5,20445,C5,N11193,4281,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,13851,1385103,33851,"Oklahoma City, OK",OK,40,Oklahoma,73,0.0,-1.0,1000-1059,33.0,1041.0,1140.0,8.0,1149,-1.0,0.0,-1.0,1100-1159,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",BHM,IAH,False,False,1258,1255.0,0.0,-3.0,1505.0,0.0,103.0,131.0,130.0,562.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4280,C5,20445,C5,N12160,4280,10599,1059904,30599,"Birmingham, AL",AL,1,Alabama,51,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,1200-1259,17.0,1312.0,1455.0,10.0,1509,-4.0,0.0,-1.0,1500-1559,3,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,GJT,False,False,941,937.0,0.0,-4.0,1031.0,0.0,39.0,68.0,54.0,212.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4273,C5,20445,C5,N21144,4273,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,11921,1192102,31921,"Grand Junction, CO",CO,8,Colorado,82,0.0,-1.0,0900-0959,12.0,949.0,1028.0,3.0,1049,-18.0,0.0,-2.0,1000-1059,1,0
